id,name,is_public
228,Неисправность/недоступность существующих объектов инфраструктуры для маломобильных граждан в учреждениях здравоохранения,1
229,Ожидание приема (записи) в регистратуре амбулаторно-поликлинического учреждения более 15 минут,1
230,"Неудовлетворительное состояние колодца, люка",1
231,"Открыт колодец, люк",1
232,Отсутствие информации об отключениях в связи с проведением ремонтных работ (на информационном стенде управляющей организации),1
233,Неисправен козырек над входом в подвал,1
234,"Открыты/закрыты подвальные окна, продухи, вход в подвал",1
235,Проблемы функционирования выгребной уборной,1
236,Засор мусоропровода,1
237,"Неудовлетворительное содержание чердачного помещения, принадлежащего собственникам помещений в многоквартирном доме на праве общей долевой собственности",1
238,Герметизация стыков стеновых панелей,1
239,"Повреждение участков цоколя, отмостки, приямков, вентиляционных продухов",1
240,Проблемы подключения по временной послеаварийной схеме,1
241,Несанкционированный водоразбор холодной воды,0
242,Несанкционированный водоразбор горячей воды,0
243,"Требуется дезинфекция, дезинсекция контейнерной площадки",0
244,Требуется дератизация контейнерной площадки,0
245,Механическое повреждение отдельно стоящей рекламной или информационной конструкции либо наличие посторонних надписей/объявлений на них,1
246,"Механическое повреждение рекламной или информационной конструкции, установленной на фасаде здания (сооружения)",1
247,Мусор на газонах (крупногабаритные объекты),1
248,Мусор на газонах (крупногабаритные объекты),1
249,Неудовлетворительное содержание газонов (отсутствие травяного покрова),1
250,Неудовлетворительное санитарное и техническое состояние контейнерной площадки,1
251,"Утрата жизнеспособности, декоративной ценности зеленых насаждений, неухоженный вид деревьев и кустарников",1
252,"Несанкционированный водозабор холодной, горячей воды из общедомовых сетей",1
253,Размещение инженерного и технического оборудования на фасаде и кровле многоквартирного дома с нарушением установленного порядка,1
254,"Ненадлежащее состояние малых архитектурных форм, уличной мебели и хозяйственно-бытового оборудования, необходимого для благоустройства территории",1
255,"Предложения по установке малых архитектурных форм, уличной мебели и хозяйственно-бытового оборудования, необходимого для благоустройства территории",1
256,Ненадлежащее состояние ограждений газонов,1
257,Ненадлежащее состояние ограждений газонов,1
