shop,name,lat,lon
gift,Салон изысканных подарков,59.8537346,30.3282815
hardware,Самоделкин,59.8537424,30.3287675
clothes,Blues and Jeans,59.8547941,30.3278605
convenience,,59.8537885,30.3292892
supermarket,Дикси,59.8552291,30.3254192
supermarket,Prisma,59.8513847,30.30855
stationery,Комус,59.8554252,30.3218137
mobile_telephony,МТС,59.855642,30.3218036
optician,Линкон,59.8552305,30.3239444
confectionery,Эстафета,59.8537009,30.3207796
sewing,Мир шитья,59.8546884,30.3205757
hairdresser,Ювента,59.8507348,30.3259498
curtain,"Салон штор ""Жан Жан""",59.8507369,30.3269821
jewelry,Алмазы Якутии,59.8511363,30.330361
pet,Золотая рыбка,59.851267,30.3303481
hardware,Сан Саныч,59.851639,30.3303198
furniture,,59.8515618,30.3303261
hairdresser,Мария,59.8528124,30.3302545
convenience,Продукты,59.8535765,30.3302022
outdoor,Знакомая дорога.Ru,59.8534013,30.330224
car_parts,Атлант,59.8534825,30.3302045
furniture,Дятьково,59.8798276,30.4563262
car,Gregory's Cars,59.9772959,30.328743
supermarket,Магнит,59.7455926,30.5918485
supermarket,Народная 7Я семьЯ,59.7424461,30.5820126
car_repair,СТО,59.7453391,30.5918803
hardware,Метизы,59.7477088,30.5864945
electronics,Селена,59.747888,30.5849174
car_repair,СТО,59.7485502,30.6034783
books,Знание,59.7498018,30.583946
supermarket,Пятёрочка,59.7480903,30.5675259
supermarket,Народная 7Я семьЯ,59.7473367,30.5911077
florist,,59.7483421,30.5903353
computer,LaserCom,59.7473475,30.5908717
supermarket,О'Кей экспресс,59.737503,30.5720533
convenience,,59.7422337,30.5682017
supermarket,Народная 7Я семьЯ,59.7470551,30.6126337
supermarket,Верный,59.7411197,30.5917366
car_repair,z24,59.735425,30.5818431
car_parts,СтаКос,59.8440915,30.3350799
yes,ПТК,59.8516738,30.3392365
supermarket,Пятёрочка,59.8757783,30.4464639
car_parts,,59.8405598,30.3274331
computer,Лилак,59.8398375,30.3287179
supermarket,Семишагофф,59.8397995,30.3291796
supermarket,Пятёрочка,59.8390041,30.330786
hardware,Кабель-магазин,59.8368873,30.3340945
alcohol,,59.8367764,30.3343035
car_parts,Транзит,59.8366331,30.3345735
car_parts,ТракTir,59.8350133,30.3376792
outdoor,Лодки Питер,59.8322233,30.3428707
erotic,Bruno,59.8319048,30.3434563
stationery,Fактория,59.8318583,30.3435545
department_store,Спорт,59.940639,30.4141487
convenience,Медея,59.9565514,30.3266659
pastry,Север-Метрополь,59.9569508,30.3266353
supermarket,Пятёрочка,59.9346832,30.2711543
car_parts,,59.9721857,30.3404127
supermarket,Дикси,59.9723813,30.3403979
florist,Цветы,59.9741945,30.339201
optician,PRO.Зрение,59.8778558,30.475261
supermarket,Ветеран,59.971692,30.3402192
supermarket,Полушка,59.9710074,30.3430735
pastry,Север Метрополь,59.9710539,30.3432738
pastry,Север-Метрополь,59.930377,30.3668044
optician,Катти Сарк,59.8803558,30.458066
florist,Цветы,59.8794757,30.4555386
hardware,,60.2534531,29.5767031
butcher,Фермерское мясо,59.7506689,30.5730399
outdoor,Военохот,59.7359356,30.5765951
hairdresser,,59.746759,30.6086529
butcher,Великолукский Мясокомбинат,59.7469161,30.6104358
supermarket,Лэнд,59.9942777,30.1460337
shoes,Мода & Комфорт,59.9646435,30.3099932
supermarket,Пулковский,59.8406579,30.3175749
supermarket,Пятёрочка,59.8870323,29.8614209
supermarket,Полушка,59.8715501,29.9139566
cosmetics,Lush,59.9316334,30.3546274
shoes,,59.9584603,30.3109149
ticket,muzbilet.ru,59.9061561,30.3177301
supermarket,Пятёрочка,59.8821179,29.8922049
car_parts,Би-Би,59.8823633,29.8902348
car_repair,Петергоф-Авто,59.8830471,29.8349955
supermarket,Пятёрочка,59.9254723,30.4235541
supermarket,Пятёрочка,59.9265556,30.4152587
supermarket,Дикси,59.9261696,30.4151947
convenience,Продукты,59.9255435,30.4258663
chemist,Магнит косметик,59.9298935,30.4197901
hairdresser,,59.9255751,30.4234028
hairdresser,,59.9256411,30.4257518
doityourself,,59.9283207,30.4102541
car_repair,,59.9272079,30.4021952
car_parts,Z24,59.939004,30.4045391
furniture,,59.9306299,30.4111232
furniture,,59.9309607,30.4108586
supermarket,Бриз,59.8535261,30.3535635
supermarket,Пловдив,59.717859,30.0761269
supermarket,Пятёрочка,59.7292286,30.0835227
supermarket,Магнит,59.7213982,30.068455
supermarket,Пятёрочка,59.8285718,30.1565101
supermarket,Магнит,59.8325914,30.1476788
convenience,,59.8198987,30.3251831
car,Автосалон Volvo,59.8212288,30.3247488
car,Автосалон LandRover,59.8216573,30.3245654
car,Автосалон Jaguar,59.8213461,30.3245914
optician,,59.9269171,30.4143094
convenience,,59.9721041,29.2593732
hairdresser,"Салон красоты ""Венера""",59.8284075,30.3992868
convenience,Виктория,59.8284517,30.3996943
doityourself,Мастерок,59.8282658,30.3989131
convenience,,59.8283324,30.3992003
convenience,Продукты,59.9547668,30.3053177
supermarket,Дикси,59.9519805,30.3006939
toys,Дети,59.8806604,30.4666568
books,Буквоед,60.0218975,30.2441864
chemist,Улыбка радуги,60.0181936,30.2487809
electronics,Иван Сусанин,59.9653819,30.3148149
doityourself,"Стройбаза ""Выборгская""",60.1717865,30.1789603
supermarket,Дикси,59.8448614,30.4084304
computer,Кей,60.0064025,30.2578549
florist,ЛенЦветТорг,60.0107862,30.257373
toys,Здоровый малыш,60.0117392,30.2562013
books,Буквоед,59.9232848,30.3347945
florist,ЦветыОптТорг,59.8379599,30.332345
supermarket,идеЯ,60.0170258,30.244762
supermarket,Ашан,60.0088908,30.2976706
supermarket,Народная 7Я семьЯ,59.9103693,29.7772672
bicycle,Alien Bike,59.9894454,30.2599288
supermarket,Народная 7Я семьЯ,59.9033498,30.2201971
car_repair,Кансай-моторз,59.8683663,30.241709
convenience,,59.8985115,30.2131115
supermarket,Бриз,59.8743896,30.2686674
butcher,Фермерское хозяйство,59.8270959,30.2053708
supermarket,Перекресток,59.8494025,30.2683088
convenience,,59.7804376,30.9604218
supermarket,Полушка,59.9556527,30.4899155
supermarket,Ашан,60.0917892,30.3819204
doityourself,OBI,60.0900999,30.3827723
furniture,ИКЕА,60.0927637,30.3778438
supermarket,Лето,59.8280232,30.3259124
supermarket,Полушка,59.9614421,30.3069367
convenience,Рассвет,60.0072884,30.3570183
supermarket,Дикси,59.9242958,30.4500651
supermarket,Магнит,59.9235465,30.4529942
car_parts,Вюрт Маркет,59.9862801,30.3584234
convenience,Мини-маркет,59.9661332,30.3065052
convenience,Энергетик,60.221595,30.5543455
convenience,Дружный,60.2305717,30.5665504
furniture,Паркет Холл,59.9616379,30.308045
supermarket,Перекрёсток,59.9581684,30.3131303
car_repair,,60.0102122,30.3815367
travel_agency,,59.9617215,30.304327
computer,Юлмарт Outpost Дыбенко,59.9061864,30.478907
supermarket,Полушка,59.9316189,30.2407
florist,,59.9321298,30.2403133
florist,Цветы,60.0088832,30.3691425
butcher,Великолукский мясокомбинат,60.009598,30.3694846
convenience,,59.8031047,31.0330518
convenience,,59.8087848,30.9614786
chemist,Скарлетт,59.9647662,30.2973594
computer,Ноутбуки,59.852403,30.301527
convenience,,60.01164,30.6659365
car_repair,Альянс Автоком,59.9940807,30.6577994
kiosk,,59.5614311,31.0207283
car_parts,Би-Би,59.8392936,30.4957171
supermarket,Народная 7Я семьЯ,59.8346249,30.5101296
car_parts,Би-Би,59.8929547,30.4894753
bathroom_furnishing,Стройторг,59.9247647,30.3493725
convenience,Продукты,59.8885694,29.862754
convenience,,59.7978227,30.0789424
supermarket,,59.8276563,30.2231117
bicycle,,60.0070662,30.199544
alcohol,Ароматный мир,59.9251193,30.3134782
jewelry,Агат,59.9253316,30.3139757
convenience,Компас здоровья,59.9251793,30.3136213
hairdresser,,59.9306863,30.4316721
dry_cleaning,,59.9307375,30.431942
outdoor,/товары для рыбалки/,59.9301159,30.434415
pet,Зоомагазин,59.9300305,30.4346289
sports,Reebook,59.9305702,30.4312076
jewelry,Ювелирторг,59.9359671,30.335684
chemist,Рив Гош,59.8319627,30.5050904
toys,Дети,59.8318083,30.5048978
electronics,DNS,59.8323238,30.5055459
shoes,Centro,59.8320297,30.5052015
hifi,Техносила,59.8335654,30.5068659
kids,Здоровый малыш,59.8332287,30.5066302
supermarket,Пятёрочка,59.8329921,30.5070632
supermarket,Супер Пятачок,59.9910928,30.3070532
car_repair,,59.9254245,30.4310874
convenience,,59.7238916,30.427516
hairdresser,Салон красоты,59.7241438,30.4280111
hairdresser,Ориона,59.7218217,30.4282363
convenience,Мясная лавка,59.7217746,30.4290239
mobile_phone,Связной,59.7243392,30.4279048
laundry,,59.7218634,30.4278778
ticket,Ж/Д и авиа касса,59.7236611,30.4270715
florist,Цветочная гавань,59.9322527,30.2403184
pet,Филя,59.9319051,30.2405249
alcohol,Магазин-бар свежего пива,59.9334398,30.2398196
hardware,Торгово-выставочный зал «ВЭМЗ»,59.9329419,30.2394143
car_parts,,59.9320668,30.2369021
car_parts,Автомаркет,59.9319547,30.2368582
clothes,Альдона,59.9319403,30.2407276
fabric,Ткани,59.9334124,30.2380542
florist,Роза ветров,59.9329126,30.2410549
convenience,Универсам «Любимый»,59.9330102,30.2382179
general,,59.9319832,30.2409887
greengrocer,,59.9325651,30.2401742
clothes,Деловая одежда,59.9314315,30.2371037
supermarket,Дикси,59.932323,30.2394649
beauty,,59.9328711,30.2382832
car,BMW-MINI,59.9332082,30.2363009
car_parts,Авто Express,59.9320543,30.2368231
newsagent,,59.931821,30.2415542
bakery,,59.9317158,30.2413458
laundry,Грязи.Net,59.9316475,30.2409
beauty,ellis,59.9309176,30.2409457
garden_centre,FloMaster,59.931256,30.2424348
ticket,,59.9317294,30.2414741
second_hand,,59.9312148,30.2414228
mobile_phone,,59.9316652,30.2410219
furniture,Династия,59.9307796,30.2402953
convenience,,59.9316812,30.2411566
convenience,,59.9304013,30.2412103
hairdresser,Лидия,59.9305285,30.240626
kiosk,,59.931205,30.2403071
beauty,,59.9316989,30.2412913
general,,59.9316362,30.2408134
pet,Аквариумы,59.9277285,30.2408392
car_parts,Autopoint,59.9266919,30.2413552
furniture,Pret'a'parquet,59.927167,30.2417014
convenience,Алар,59.9293712,30.2411509
convenience,Магазин №66,59.92756,30.2421593
convenience,Универсамчик 24,59.9280871,30.2448258
convenience,Евромаркет,59.9290187,30.2419098
hairdresser,,59.9283082,30.2435057
